candidate_id,rank,final_score,semantic_score,retrieval_score,evaluation_score,product_company_score,activity_score,availability_score,career_stability_score,pen_research,pen_specialization,pen_consulting
CAND_0018499,1,0.9350,0.5505,0.9800,1.0000,1.0000,0.8450,0.8425,0.8500,0.0000,0.0000,0.0000
CAND_0055905,2,0.9006,0.5763,0.9500,1.0000,1.0000,0.8225,0.8175,0.8500,0.0000,0.0000,0.0000
CAND_0086022,3,0.8804,0.5591,0.9600,1.0000,0.5000,0.7750,0.8275,0.8500,0.0000,0.0000,0.0000
CAND_0046525,4,0.8444,0.5817,0.9400,1.0000,0.0000,0.8750,0.5500,1.0000,0.0000,0.0000,0.0000
CAND_0008425,5,0.8391,0.5952,0.7500,1.0000,1.0000,0.8750,0.4275,0.8500,0.0000,0.0000,0.0000
CAND_0077337,6,0.8369,0.5411,0.9800,1.0000,0.7500,0.9500,0.5675,0.5500,0.0000,0.0000,0.0000
CAND_0005260,7,0.8306,0.5666,0.9600,1.0000,0.0000,0.8075,0.3950,0.8500,0.0000,0.0000,0.0000
CAND_0094759,8,0.8269,0.6064,0.9300,1.0000,0.0000,0.5375,0.4775,0.8500,0.0000,0.0000,0.0000
CAND_0002025,9,0.8259,0.5698,0.7900,1.0000,0.2500,0.9500,0.8000,0.8500,0.0000,0.0000,0.0000
CAND_0033861,10,0.8256,0.5918,0.9500,1.0000,0.2500,0.5300,0.4900,0.8500,0.0000,0.0000,0.0000
CAND_0079387,11,0.7961,0.4636,0.6000,0.9600,0.5000,0.8750,0.8025,0.5500,0.0000,0.0000,0.0000
CAND_0041669,12,0.7897,0.4369,0.7800,0.9600,0.5000,0.7750,0.5225,0.8500,0.0000,0.0000,0.0000
CAND_0030953,13,0.7848,0.4588,0.9300,0.9600,0.0000,0.7750,0.4725,0.5500,0.0000,0.0000,0.0000
CAND_0080766,14,0.7835,0.5775,0.4300,1.0000,0.7500,0.7750,0.7050,0.8500,0.0000,0.0000,0.0000
CAND_0011687,15,0.7757,0.5352,0.3500,1.0000,0.2500,0.8750,0.9125,1.0000,0.0000,0.0000,0.0000
CAND_0058575,16,0.7652,0.5380,0.7100,1.0000,0.5000,0.7750,0.4350,0.5500,0.0000,0.0000,0.0000
CAND_0005649,17,0.7567,0.4736,0.8700,0.9600,0.0000,0.6350,0.4050,0.5500,0.0000,0.0000,0.0000
CAND_0037000,18,0.7563,0.4880,0.7500,0.6400,0.5000,0.8750,0.6925,0.8500,0.0000,0.0000,0.0000
CAND_0075249,19,0.7472,0.4688,0.8100,0.6400,0.5000,0.6925,0.6700,1.0000,0.0000,0.0000,0.0000
CAND_0042506,20,0.7465,0.4997,0.5700,0.6400,0.5000,0.7865,0.8100,0.8500,0.0000,0.0000,0.0000
